Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2010,Alexei Ramirez,White Sox,156,626,18,83,70,13,4.30%,13.10%,0.149,0.3,0.282,0.313,0.431,0.324,95,3.9,0.5,17.6,4.1,5133
2002,Edgar Renteria,Cardinals,152,609,11,77,83,22,8.00%,9.40%,0.134,0.322,0.305,0.364,0.439,0.349,113,-2.5,7.6,13.3,4.1,1178
2017,Elvis Andrus,Rangers,158,689,20,100,88,25,5.50%,14.70%,0.174,0.325,0.297,0.337,0.471,0.344,110,4.4,12.6,4.5,4.1,8709
1997,Derek Jeter,Yankees,159,748,10,116,70,23,9.90%,16.70%,0.115,0.345,0.291,0.37,0.405,0.349,110,-0.5,9.2,5.7,4,826
2008,J.J. Hardy,Brewers,146,629,24,78,74,2,8.30%,15.60%,0.195,0.305,0.283,0.343,0.478,0.356,115,-4.7,7.2,12.9,4,3797
1996,Jose Valentin,Brewers,154,628,24,90,95,17,10.50%,23.10%,0.216,0.307,0.259,0.336,0.475,0.346,96,1.5,-1.8,20,4,256
2003,Rafael Furcal,Braves,156,734,15,130,61,25,8.20%,10.40%,0.151,0.31,0.292,0.352,0.443,0.346,107,11.1,17.7,-1,4,88
2001,Placido Polanco,Cardinals,144,610,3,87,38,12,4.10%,7.00%,0.076,0.328,0.307,0.342,0.383,0.32,92,1.1,-5.3,25.9,4,1176
2007,Edgar Renteria,Braves,124,543,12,87,57,11,8.50%,14.20%,0.138,0.375,0.332,0.39,0.47,0.379,127,3.1,22.2,0.8,4,1178
2011,Elvis Andrus,Rangers,150,665,5,96,60,37,8.40%,11.10%,0.082,0.312,0.279,0.347,0.361,0.319,93,7.8,2.1,13.9,4,8709
2014,Ian Desmond,Nationals,154,648,24,73,91,24,7.10%,28.20%,0.175,0.326,0.255,0.313,0.43,0.329,108,3.8,9.7,7.2,4,6885
2007,J.J. Hardy,Brewers,151,638,26,89,80,2,6.30%,11.40%,0.186,0.279,0.277,0.323,0.463,0.34,103,-2.3,-0.1,19.4,3.9,3797
2001,Cristian Guzman,Twins,118,527,10,80,51,25,4.00%,14.80%,0.174,0.343,0.302,0.337,0.477,0.349,111,1.5,8.5,13.2,3.9,728
1999,Tony Batista,- - -,142,573,31,77,100,4,6.60%,16.80%,0.241,0.283,0.277,0.33,0.518,0.358,107,0.8,6,15.5,3.9,124
2009,Yunel Escobar,Braves,141,604,14,89,76,5,9.40%,10.30%,0.136,0.317,0.299,0.377,0.436,0.36,120,-2.5,12,7.8,3.9,4191
2005,Jimmy Rollins,Phillies,158,732,12,115,54,41,6.40%,9.70%,0.142,0.309,0.29,0.338,0.431,0.332,97,10.3,7.6,7.4,3.9,971
2017,Didi Gregorius,Yankees,136,570,25,73,87,3,4.40%,12.30%,0.191,0.287,0.287,0.318,0.478,0.335,107,3.1,8.2,11.3,3.9,6012
1988,Scott Fletcher,Rangers,140,609,0,59,47,8,10.20%,5.60%,0.052,0.292,0.276,0.364,0.328,0.321,100,-0.9,-1.2,18.3,3.9,1004155
2014,Jimmy Rollins,Phillies,138,609,17,78,55,28,10.50%,16.40%,0.151,0.269,0.243,0.323,0.394,0.319,103,5.6,7.9,9.5,3.9,971
2012,Elvis Andrus,Rangers,158,711,3,85,62,21,8.00%,13.50%,0.092,0.332,0.286,0.349,0.378,0.322,97,1.4,-1.2,14.7,3.9,8709
