Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
1991,Kurt Stillwell,Royals,122,428,6,44,51,3,7.70%,13.10%,0.096,0.294,0.265,0.322,0.361,0.306,87,-1,-7.4,-1.4,0.5,1012536
2006,J.J. Hardy,Brewers,35,139,5,13,14,1,7.20%,16.50%,0.156,0.257,0.242,0.295,0.398,0.301,76,-1.8,-6.2,7.1,0.5,3797
1990,Carlos Baerga,Indians,108,338,7,46,47,0,4.70%,16.90%,0.135,0.292,0.26,0.3,0.394,0.308,89,-0.9,-5.1,-0.4,0.5,175
1988,Rafael Belliard,Pirates,122,321,0,28,11,7,8.10%,14.60%,0.028,0.255,0.213,0.288,0.241,0.247,56,0.8,-14.5,10,0.5,1000811
1987,Rey Quinones,Mariners,135,517,12,55,56,1,5.00%,13.70%,0.121,0.302,0.276,0.317,0.397,0.314,86,-1.3,-10.2,-1.8,0.5,1010615
1992,Wil Cordero,Expos,45,137,2,17,8,0,6.60%,22.60%,0.095,0.387,0.302,0.353,0.397,0.343,118,0,2.7,-2.3,0.5,770
1987,Domingo Ramos,Mariners,42,109,2,9,11,0,2.80%,11.00%,0.117,0.337,0.311,0.336,0.427,0.335,100,-0.5,-0.5,2.1,0.5,1010677
1996,Gary DiSarcina,Angels,150,576,5,62,48,2,3.60%,6.30%,0.091,0.266,0.256,0.286,0.347,0.281,59,-0.2,-32.7,16,0.5,1003322
2010,Danny Worth,Tigers,39,115,2,10,8,1,5.20%,11.30%,0.104,0.275,0.255,0.295,0.358,0.291,76,0.6,-2.7,3.8,0.5,198
2014,Gregorio Petit,Astros,37,100,2,14,9,0,1.00%,25.00%,0.144,0.357,0.278,0.3,0.423,0.318,106,0.6,1.3,0.3,0.5,3812
1985,Jose Uribe,Giants,147,513,3,46,26,8,5.80%,11.10%,0.078,0.264,0.237,0.285,0.315,0.266,67,0.7,-18.3,6.6,0.5,1013300
2016,Adeiny Hechavarria,Marlins,155,547,3,52,38,1,6.00%,13.30%,0.075,0.269,0.236,0.283,0.311,0.256,57,2,-26.9,14.6,0.5,10459
2011,Jason Donald,Indians,39,143,1,13,8,3,4.90%,24.50%,0.083,0.423,0.318,0.364,0.402,0.34,116,-0.1,2.6,-2.4,0.5,9331
